name,amount,date,production_company,channel,format,genre,fund_name
Who's Ya Mate?,"$29,568",Dec 2003,Satellite Media Group,TV 2,1 x 30 mins,Comedy,TV Production
The Street Kids,"$85,038",Dec 2003,Screentime,TV3,1 x 60 mins,Documentary,TV Production
Up For Parole,"$89,476",Dec 2003,Raconteur International,TV3,1 x 60 mins,Documentary,TV Production
Dna & You,"$91,661",Dec 2003,Greenstone Pictures,TV3,1 x 60 mins,Documentary,TV Production
"Sex, Lies & A Million Dollars","$97,171",Dec 2003,Greenstone TV,TV3,1 x 60 mins,Documentary,TV Production
Whistleblowers,"$88,245",Dec 2003,A C Productions,TV One,1 x 60 mins,Documentary,TV Production
Two Women & Two Babies- 2004,"$105,900",Dec 2003,Attitude Pictures,TV One,1 x 60 mins,Documentary,TV Production
The Promise,"$125,400",Dec 2003,Spacific Films,TV One,1 x 60 mins,Documentary,TV Production
Kohanga Kids,"$81,151",Dec 2003,Greenstone TV,TV One,1 x 60 mins,Documentary,TV Production
Children Of 1984,"$74,502",Dec 2003,ROOM8,TV One,1 x 60 mins,Documentary,TV Production
Squeeze 2004,"$272,647",Oct 2003,Satellite Media Group,TV 2,35 x 30 mins,Arts/Culture,TV Production
L Plates,"$339,058",Oct 2003,Raconteur International,TV3,7 x 30 mins,Children,TV Production
Mai Time 2004,"$870,000",Oct 2003,Television New Zealand,TV 2,35 x 60 mins,Children,TV Production
Squirt 2004,"$1,250,200",Oct 2003,Taylormade Media,TV 2,40 x 30 mins,Children,TV Production
The Dress Up Box 4,"$177,203",Oct 2003,PAPAGENO PRODUCTIONS,TV3,10 x 5 mins,Children,TV Production
Underwater Melon Man Additionl,"$14,000",Oct 2003,Monkey Biz,TV3,Children,TV Production,TV Production
What Now 2004,"$2,500,000",Oct 2003,What Now,TV 2,40 x 120 mins,Children,TV Production
Inside Out 2004,"$1,000,000",Oct 2003,LONG WHITE CLOUD PRODUCTIONS,TV One,40 x 30 mins,Special Interest,TV Production
Give It A Whirl Additional,"$36,254",Oct 2003,Visionary Film & TV,TV One,Documentary,TV Production,TV Production
Lost Dreaming: Naomi's Story,"$26,364",Oct 2003,PACIFIC ROSE PRODUCTIONS,TV One,1 x 60 mins,Documentary,TV Production
Marti,"$100,912",Oct 2003,Point Of View Productions,TV One,1 x 60 mins,Documentary,TV Production
Sheilas: 28 Years On,"$120,000",Oct 2003,Occasional Productions,TV One,1 x 60 mins,Documentary,TV Production
Soundings Additional,"$40,046",Oct 2003,Hunter Productions,TV One,1 x 30 mins,Documentary,TV Production
Doves Of War,"$2,400,000",Oct 2003,Screenworks,TV3,6 x 60 mins,Drama,TV Production
Asia Downunder Regional,"$5,000",Oct 2003,Asia Vision,TV One,Special Interest,TV Production,TV Production
Asia Downunder 2004,"$1,100,672",Oct 2003,Asia Vision,TV One,40 x 30 mins,Special Interest,TV Production
Maori Sports Awards 2003,"$50,465",Oct 2003,TVNZ,TV One,1 x 90 mins,Special Interest,TV Production
Open Door 5,"$300,621",Oct 2003,Morningside Productions,TV3,10 x 30 mins,Special Interest,TV Production
Praise Be 2004,"$615,491",Oct 2003,TVNZ,TV One,48 x 30 mins,Special Interest,TV Production
Queer Nation 9,"$375,547",Oct 2003,Livingstone Productions,TV 2,13 x 30 mins,Special Interest,TV Production
Nesian Style,"$80,871",Oct 2003,Front of The Box Productions,TV 2,1 x 60 mins,Documentary,TV Production
Gang Girls 2,"$86,735",Oct 2003,Front of The Box Productions,TV 2,1 x 60 mins,Documentary,TV Production
Bottle Blondes,"$79,621",Oct 2003,Greenstone Pictures,TV 2,1 x 60 mins,Documentary,TV Production
Parasite Kids,"$79,488",Oct 2003,Top Shelf Productions,TV 2,1 x 60 mins,Documentary,TV Production
No Ordinary Joe,"$114,704",Oct 2003,Kiwa Productions,TV3,1 x 60 mins,Documentary,TV Production
Asleep At The Wheel,"$87,945",Oct 2003,Top Shelf Productions,TV3,1 x 60 mins,Documentary,TV Production
Sold Short,"$93,142",Oct 2003,Top Shelf Productions,TV3,1 x 60 mins,Documentary,TV Production
Sleep Attack,"$92,682",Oct 2003,The TV Set,TV3,1 x 60 mins,Documentary,TV Production
The Brown Factor,"$84,183",Oct 2003,AKA Productions,TV One,1 x 60 mins,Documentary,TV Production
Mana Wahine,"$62,215",Oct 2003,Front of The Box Productions,TV One,1 x 60 mins,Documentary,TV Production
Private Lives Of Gifted Children,"$90,992",Oct 2003,Greenstone TV,TV One,1 x 60 mins,Documentary,TV Production
True Bollywood Stories,"$3,045",Oct 2003,Satellite Media Group,TV One,1 x 60 mins,Documentary,TV Production
Life On The Street,"$67,615",Oct 2003,Top Shelf Productions,TV One,1 x 60 mins,Documentary,TV Production
New Faces Old Fears,"$70,440",Oct 2003,Bates Productions,TV One,1 x 60 mins,Documentary,TV Production
Skool's Out,"$70,146",Oct 2003,Bates Productions,TV One,1 x 60 mins,Documentary,TV Production
Wrestling With The Angel,"$200,016",Oct 2003,Ninox Television,TV One,1 x 90 mins,Documentary,TV Production
Big Night In (2Nd Tranche),"$536,380",Aug 2003,DENIS SPENCER PRODUCTIONS,TV One,6 x 60 mins,Arts/Culture,TV Production
Edwards At Large,"$190,000",Aug 2003,Television New Zealand,TV One,12 x 60 mins,Arts/Culture,TV Production
Home Truths,"$58,084",Aug 2003,TVWorks,TV3,10 x 30 mins,Arts/Culture,TV Production
NZ Idol,"$450,000",Aug 2003,Television New Zealand,TV 2,Arts/Culture,TV Production,TV Production
The Living Room 2,"$409,986",Aug 2003,Sticky Pictures,TV3,10 x 30 mins,Arts/Culture,TV Production
Party Animals 2 Additional,"$999,746",Aug 2003,Imagination Television,TV 2,40 x 30 mins,Children,TV Production
Holly's Heroes,"$1,430,000",Aug 2003,The Gibson Group,TV 2,26 x 30 mins,Children's Drama,TV Production
Eating Media Lunch 1,"$262,180",Aug 2003,Great Southern Television,TV 2,6 x 30 mins,Comedy,TV Production
Serial Killers,"$989,930",Aug 2003,Landtry Limied,TV One,7 x 30 mins,Comedy,TV Production
Bright Williams - Last Man...,"$20,000",Aug 2003,Execam,Prime,1 x 30 mins,Documentary,TV Production
Colin Mccahon,"$170,000",Aug 2003,Screentime,TV One,1 x 60 mins,Documentary,TV Production
Flipside 3,"$400,000",Aug 2003,Television New Zealand,TV 2,52 x 30 mins,Documentary,TV Production
Intrepid Journeys 2,"$100,000",Aug 2003,Jam TV,TV One,11 x 60 mins,Documentary,TV Production
Some Of My Best Friends 2,"$266,666",Aug 2003,AKA Productions,TV One,7 x 30 mins,Documentary,TV Production
Special Investigators,"$291,276",Aug 2003,Greenstone Pictures,TV One,10 x 30 mins,Documentary,TV Production
The Explorers,"$920,000",Aug 2003,TVNZ,TV One,4 x 60 mins,Documentary,TV Production
Crime Story (Fracture),"$120,000",Aug 2003,NZ Film Commission,TV3,1 x 120 mins,Drama,TV Production
Insider's Guide To Happiness,"$4,875,000",Aug 2003,The Gibson Group,TV 2,13 x 60 mins,Drama,TV Production
Mataku 3,"$1,387,500",Aug 2003,4Winds Films,TV One,7 x 30 mins,Drama,TV Production
Sione's Wedding,"$300,000",Aug 2003,South Pacific Pictures,TV3,1 x 120 mins,Drama,TV Production
Spooked,"$300,000",Aug 2003,SILVER SCREEN FILMS ETC,TV3,1 x 120 mins,Drama,TV Production
Korero Time 2003,"$40,058",Aug 2003,Front of The Box Productions,TV 2,2 x 30 mins,Special Interest,TV Production
Baby Keeghan,"$92,531",Aug 2003,Greenstone Pictures,TV3,1 x 60 mins,Documentary,TV Production
Drugs At The Border,"$87,689",Aug 2003,Greenstone Pictures,TV3,1 x 60 mins,Documentary,TV Production
They Want Your Money,"$83,894",Aug 2003,Razor Films,TV3,1 x 60 mins,Documentary,TV Production
Seriously Stressed,"$79,248",Aug 2003,Southern Screen Productions,TV One,1 x 60 mins,Documentary,TV Production
Westfield Style Pasifika 2003,"$120,757",Jun 2003,Drum Productions,TV One,1 x 60 mins,Arts/Culture,TV Production
Wearable Art Awards 2003,"$120,542",Jun 2003,TVNZ,TV One,1 x 60 mins,Arts/Culture,TV Production
Young Musician Of The Year 2004,"$130,000",Jun 2003,C4 Productions,TV One,1 x 90 mins,Arts/Culture,TV Production
Interstitials - Lost In Place,"$48,248",Jun 2003,HALSEY STREET,TV 2,3 x 1 mins,Children,TV Production
Pacifica Beats 2003,"$76,872",Jun 2003,Television New Zealand,TV 2,2 x 60 mins,Children,TV Production
Party Animals 2,"$700,000",Jun 2003,Imagination Television,TV 2,25 x 30 mins,Children,TV Production
Against The Odds Additional,"$2,717",Jun 2003,ROSS JOHNSTON PRODUCTIONS,TV One,Documentary,TV Production,TV Production
The Wright Dance Additional,"$15,000",Jun 2003,Spacific Films,TV One,Documentary,TV Production,TV Production
In My Father's Den,"$450,000",Jun 2003,FATHER'S DEN PRODUCTIONS,TV One,1 x 180 mins,Drama,TV Production
Asia Downunder 2003 Additional,"$59,149",Jun 2003,Asia Vision,TV One,Special Interest,TV Production,TV Production
King Of Speed,"$80,000",Jun 2003,Bravo Communications,TV One,1 x 60 mins,Documentary,TV Production
Trim City,"$82,836",Jun 2003,NHNZ,TV One,1 x 60 mins,Documentary,TV Production
Fence Jumpers,"$79,177",Jun 2003,Cream Media,TV One,1 x 60 mins,Documentary,TV Production
Last Laugh,"$199,704",Apr 2003,Cream Media,TV 2,7 x 30 mins,Comedy,TV Production
Country Calendar 2004,"$214,138",Apr 2003,Television New Zealand,TV One,13 x 30 mins,Documentary,TV Production
Monsters Of The Deep,"$170,000",Apr 2003,Red Sky Film & Television,TV One,1 x 60 mins,Documentary,TV Production
Summer Camp Usa,"$95,397",Apr 2003,Cream Media,TV 2,1 x 60 mins,Documentary,TV Production
The Music Show,"$65,427",Feb 2003,TVNZ,TV 2,10 x 60 mins,Arts/Culture,TV Production
Smokefree Stage Challenge 2003,"$289,500",Feb 2003,GURU ENTERTAINMENT,TV 2,7 x 30 mins,Children,TV Production
What Now 2003,"$2,142,679",Feb 2003,TVNZ,TV 2,40 x 150 mins,Children,TV Production
Wntv 2003,"$1,492,150",Feb 2003,TVNZ,TV 2,195 x 30 mins,Children,TV Production
Freaky Dramas 2,"$905,350",Feb 2003,Television New Zealand,TV 2,7 x 30 mins,Children's Drama,TV Production
Secret Agent Men 1,"$1,449,803",Feb 2003,Greenstone Pictures,TV3,12 x 30 mins,Children's Drama,TV Production
Children Of The Migration,"$166,000",Feb 2003,ISLAND PRODUCTIONS,TV One,1 x 90 mins,Documentary,TV Production
Everest Special,"$144,000",Feb 2003,Screentime,TV One,1 x 60 mins,Documentary,TV Production
From Len Lye To Gollum,"$133,870",Feb 2003,COBALT VFX,TV One,1 x 60 mins,Documentary,TV Production
Not Drawing Blanks,"$136,550",Feb 2003,The Gibson Group,TV One,1 x 60 mins,Documentary,TV Production
Steriogram: White Trash...,"$69,000",Feb 2003,Screentime,TV3,4 x 30 mins,Documentary,TV Production
The Voice Of Hip Hop,"$120,004",Feb 2003,Screentime,TV 2,1 x 60 mins,Documentary,TV Production
Kombi Nation,"$72,000",Feb 2003,Kombi Nation,TV3,1 x 120 mins,Drama,TV Production
Anzac Day Ceremony 2003,"$31,215",Feb 2003,Television New Zealand,TV One,1 x 60 mins,Arts/Culture,TV Production
Grass Roots Business 2,"$100,000",Feb 2003,Screentime,TV One,20 x 30 mins,Documentary,TV Production
Young Farmer Contest 2003,"$114,628",Feb 2003,Dexterity Productions,TV One,1 x 60 mins,Special Interest,TV Production
One For The Road,"$110,664",Feb 2003,The TV Set,TV One,1 x 60 mins,Documentary,TV Production
For The Love Of Carolina,"$56,852",Feb 2003,Drum Productions,TV One,1 x 60 mins,Documentary,TV Production
New Zild,"$94,997",Feb 2003,Bright Spark Television,TV One,1 x 60 mins,Documentary,TV Production
Wasted - The Legacy Of Drugs,"$88,982",Feb 2003,Attitude Pictures,TV One,1 x 60 mins,Documentary,TV Production
Big Night In,"$536,380",Dec 2002,DENIS SPENCER PRODUCTIONS,TV One,6 x 60 mins,Arts/Culture,TV Production
Stadium Spectacular 2003,"$153,900",Dec 2002,C4 Productions,TV One,1 x 90 mins,Arts/Culture,TV Production
Comedy Gala 2003,"$129,660",Dec 2002,PHOENIX TELEVISION,TV 2,1 x 60 mins,Comedy,TV Production
Billy T Awards 2003,"$119,650",Dec 2002,PHOENIX TELEVISION,TV 2,1 x 60 mins,Comedy,TV Production
Mike King Tonight,"$400,000",Dec 2002,Greenstone Pictures,TV 2,10 x 60 mins,Comedy,TV Production
Spin Doctors 4,"$977,000",Dec 2002,Comedia Pictures,TV One,7 x 30 mins,Comedy,TV Production
Against The Odds - Lemalu,"$53,180",Dec 2002,JOHNSTON PRODUCTIONS,TV One,1 x 60 mins,Documentary,TV Production
Flipside 2,"$400,000",Dec 2002,Television New Zealand,TV 2,32 x 30 mins,Documentary,TV Production
Modus Operandi - Catwalk,"$111,740",Dec 2002,Television New Zealand,TV 2,1 x 60 mins,Documentary,TV Production
On-Stage Romance,"$119,700",Dec 2002,The Gibson Group,TV One,1 x 60 mins,Documentary,TV Production
Secret New Zealand 2,"$406,509",Dec 2002,Greenstone Pictures,TV One,7 x 30 mins,Documentary,TV Production
Filth Files,"$232,007",Dec 2002,Top Shelf Productions,TV3,6 x 30 mins,Documentary,TV Production
The Women's War,"$123,149",Dec 2002,Ninox Television,TV One,1 x 60 mins,Documentary,TV Production
Trial By Ordeal,"$131,439",Dec 2002,Red Sky Film & Television,TV One,1 x 90 mins,Documentary,TV Production
For Good,"$42,000",Dec 2002,TVWorks,TV3,1 x 120 mins,Drama,TV Production
A Matter Of Life & Death,"$68,902",Dec 2002,POINT PRODUCTIONS,TV3,1 x 60 mins,Documentary,TV Production
House Obsessed,"$89,618",Dec 2002,Cream Media,TV3,1 x 60 mins,Documentary,TV Production
Children Who Kill,"$91,476",Dec 2002,Greenstone Pictures,TV3,1 x 60 mins,Documentary,TV Production
Gang Kids,"$84,340",Dec 2002,Kiwa Productions,TV3,1 x 60 mins,Documentary,TV Production
Road Kill,"$88,565",Dec 2002,Top Shelf Productions,TV3,1 x 60 mins,Documentary,TV Production
Alien Investigation,"$79,488",Dec 2002,Isola Productions,TV3,1 x 60 mins,Documentary,TV Production
Good Old Sex,"$84,441",Dec 2002,ONE FILM,TV3,1 x 60 mins,Documentary,TV Production
Charlotte's Web,"$76,513",Dec 2002,Greenstone Pictures,TV One,1 x 60 mins,Documentary,TV Production
How To Be A Millionaire,"$80,366",Dec 2002,Jump Productions,TV One,1 x 60 mins,Documentary,TV Production
Mothers Behind Bars,"$70,859",Dec 2002,Attitude Pictures,TV One,1 x 60 mins,Documentary,TV Production
New Year Resolution,"$74,960",Dec 2002,Isola Productions,TV One,1 x 60 mins,Documentary,TV Production
Pakeha Maori,"$92,301",Dec 2002,Kiwa Productions,TV One,1 x 60 mins,Documentary,TV Production
Long Lost Sons,"$92,995",Dec 2002,The Gibson Group,TV One,1 x 60 mins,Documentary,TV Production
Safe As Houses,"$83,969",Dec 2002,Ninox Television,TV One,1 x 60 mins,Documentary,TV Production
The Boy From Island Bay,"$123,138",Dec 2002,Front Page,TV One,1 x 60 mins,Documentary,TV Production
Driven,"$72,715",Dec 2002,SPORTSBRAND MEDIA NZ,TV One,1 x 60 mins,Documentary,TV Production
P.e.t. Detectives,"$2,352,798",Dec 2002,Screentime,TV 2,13 x 30 mins,Children's Drama,TV Production
Pasifika 2003,"$80,000",Oct 2002,Front of The Box Productions,TV 2,1 x 60 mins,Arts/Culture,TV Production
Polyfest Phenomenon 2003,"$80,000",Oct 2002,Front of The Box Productions,TV 2,2 x 30 mins,Arts/Culture,TV Production
Space 2003,"$698,965",Oct 2002,Satellite Media Group,TV 2,35 x 90 mins,Arts/Culture,TV Production
Squeeze 2003,"$272,647",Oct 2002,Satellite Media Group,TV 2,35 x 30 mins,Arts/Culture,TV Production
Adventures Of Massey Ferguson 1,"$333,600",Oct 2002,FLUX ANIMATION STUDIO,TV 2,13 x 5 mins,Children,TV Production
Animation Station 2,"$535,614",Oct 2002,Raconteur International,TV3,60 x 7 mins,Children,TV Production
Mai Time 2003,"$870,000",Oct 2002,Television New Zealand,TV 2,35 x 60 mins,Children,TV Production
Party Animals 1 Additional,"$80,000",Oct 2002,Imagination Television,TV 2,Children,TV Production,TV Production
Rockquest 2003,"$224,865",Oct 2002,Screentime,TV 2,5 x 30 mins,Children,TV Production
Squirt 2003,"$1,248,800",Oct 2002,Taylormade Media,TV 2,40 x 30 mins,Children,TV Production
Sticky TV 2003,"$1,297,620",Oct 2002,Pickled Possum Productions,TV3,225 x 30 mins,Children,TV Production
Takapu - Gannet In South Seas,"$50,000",Oct 2002,PACIFICA PRODUCTIONS,TV 2,10 x 5 mins,Children,TV Production
Wanda's Way,"$237,106",Oct 2002,TVNZ,TV 2,25 x 11 mins,Children,TV Production
Wannabes 2003,"$491,409",Oct 2002,Whitebait Productions,TV3,1 x 464 mins,Children,TV Production
Pulp Comedy 8,"$309,645",Oct 2002,PHOENIX TELEVISION - no longer exists,TV 2,15 x 30 mins,Comedy,TV Production
Willy Nilly 3,"$500,000",Oct 2002,Big House Film & Television,TV One,7 x 30 mins,Comedy,TV Production
Willy Nilly Christmas Special,"$40,000",Oct 2002,Big House Film & Television,TV One,1 x 30 mins,Comedy,TV Production
Inside Out 2003,"$1,000,000",Oct 2002,LONG WHITE CLOUD PRODUCTIONS,TV One,40 x 30 mins,Special Interest,TV Production
Flipside 1 Additional,"$200,000",Oct 2002,Television New Zealand,TV 2,16 x 30 mins,Documentary,TV Production
50 Ways Of Saying Fabulous,"$450,000",Oct 2002,MF Films,TV3,1 x 120 mins,Drama,TV Production
Asia Downunder 2003,"$1,041,422",Oct 2002,Asia Vision,TV One,42 x 30 mins,Special Interest,TV Production
Asia Downunder 2002 Additional,"$79,900",Oct 2002,Asia Vision,TV One,42 x 5 mins,Special Interest,TV Production
Maori Sports Awards 2002,"$50,465",Oct 2002,TVNZ,TV One,1 x 90 mins,Special Interest,TV Production
Te Hokinga Mai - Return Home,"$175,077",Oct 2002,Kiwa Productions,TV One,5 x 30 mins,Special Interest,TV Production
No 8 Wired 2003,"$100,000",Oct 2002,The Gibson Group,TV3,20 x 30 mins,Special Interest,TV Production
Open Door 4,"$282,309",Oct 2002,Morningside Productions,TV3,10 x 30 mins,Special Interest,TV Production
Praise Be 2003,"$618,191",Oct 2002,TVNZ,TV One,47 x 30 mins,Special Interest,TV Production
Queer Nation 8,"$985,875",Oct 2002,Livingstone Productions,TV 2,40 x 30 mins,Special Interest,TV Production
Queer Nation Gay Games 2002,"$75,986",Oct 2002,Livingstone Productions,TV 2,2 x 60 mins,Special Interest,TV Production
Down Under,"$92,669",Oct 2002,Screentime,TV3,1 x 60 mins,Documentary,TV Production
Camping At The Big Tahuna,"$86,811",Oct 2002,The Tv Set,TV3,1 x 60 mins,Documentary,TV Production
Real Dads Revealed,"$89,290",Oct 2002,Raconteur International,TV3,1 x 60 mins,Documentary,TV Production
The Naked Bum,"$88,718",Oct 2002,Raconteur International,TV3,1 x 60 mins,Documentary,TV Production
Endings & Beginnings,"$88,747",Oct 2002,MF Films,TV3,1 x 60 mins,Documentary,TV Production
Dalvanius,"$70,000",Oct 2002,Visionary Film & TV,TV One,1 x 60 mins,Documentary,TV Production
Tagata Pasifika 2003,"$1,260,341",Oct 2002,TVNZ,TV One,52 x 30 mins,Special Interest,TV Production
Pukana Subtitles 2003,"$122,925",Oct 2002,Cinco Cine Film Productions,C4,45 x 60 mins,Special Interest,TV Production
First Time In Prison,"$88,363",Sep 2002,Keirfilm Productions,TV3,1 x 60 mins,Documentary,TV Production
In The Mix,"$60,000",Aug 2002,SPORTSBRAND MEDIA,TV 2,1 x 60 mins,Arts/Culture,TV Production
Mercury Lane 2,"$741,200",Aug 2002,Greenstone Pictures,TV One,10 x 60 mins,Arts/Culture,TV Production
Wannabes Duos,"$210,392",Aug 2002,Whitebait Productions,TV3,4 x 30 mins,Arts/Culture,TV Production
Wearable Art Awards 2002,"$127,198",Aug 2002,TVNZ,TV One,1 x 60 mins,Arts/Culture,TV Production
Party Animals 1 Additional,"$889,438",Aug 2002,Imagination Television,TV 2,50 x 30 mins,Children,TV Production
Spin Doctors 3,"$1,037,000",Aug 2002,SPIN DOCTORS,TV One,7 x 30 mins,Comedy,TV Production
Spin Doctors Election Special,"$238,300",Aug 2002,SPIN DOCTORS,TV One,1 x 60 mins,Comedy,TV Production
Warts & All - A La Carte,"$112,726",Aug 2002,Frame Up Films,TV3,1 x 60 mins,Comedy,TV Production
Coromandel Med 1,"$148,806",Aug 2002,Cream Media,TV One,7 x 30 mins,Documentary,TV Production
Colonial House Additional,"$94,886",Aug 2002,Eyeworks Touchdown,TV One,2 x 30 mins,Documentary,TV Production
Firefighters,"$178,090",Aug 2002,Greenstone Pictures,TV One,10 x 30 mins,Documentary,TV Production
Frontier Of Dreams Additional,"$1,761,483",Aug 2002,Whakapapa Productions,TV One,Documentary,TV Production,TV Production
The Wright Dance,"$150,000",Aug 2002,Spacific Films,TV One,1 x 90 mins,Documentary,TV Production
Good Hands (Lima Leilei),"$1,240,000",Aug 2002,TALA PASIFIKA PRODUCTIONS,TV One,7 x 30 mins,Drama,TV Production
Mercy Peak 3,"$7,215,010",Aug 2002,South Pacific Pictures,TV One,20 x 60 mins,Drama,TV Production
Skin & Bone,"$1,000,000",Aug 2002,Screenworks,TV One,1 x 120 mins,Drama,TV Production
Street Legal 4,"$4,673,990",Aug 2002,Screenworks,TV 2,13 x 60 mins,Drama,TV Production
The Strip 2,"$7,000,000",Aug 2002,The Gibson Group,TV3,20 x 60 mins,Drama,TV Production
Nga Manu Korero & Kapa Haka,"$74,185",Aug 2002,Front of The Box Productions,TV 2,4 x 30 mins,Special Interest,TV Production
Blood Sweat & 14 Years,"$64,866",Aug 2002,Screentime,TV 2,1 x 60 mins,Documentary,TV Production
Bugger,"$74,973",Aug 2002,South Pacific Pictures,TV One,1 x 60 mins,Documentary,TV Production
Sir Peter Blake,"$77,095",Aug 2002,TVNZ,TV One,1 x 60 mins,Documentary,TV Production
I Do Down Under,"$71,197",Aug 2002,Raconteur International,TV One,1 x 60 mins,Documentary,TV Production
St John - 24/7,"$71,243",Aug 2002,Raconteur International,TV One,1 x 60 mins,Documentary,TV Production
Do Or Die: Lost At Sea,"$94,696",Aug 2002,Greenstone Pictures,TV One,1 x 60 mins,Documentary,TV Production
A Flock Of Students,"$81,106",Aug 2002,Greenstone Pictures,TV One,1 x 60 mins,Documentary,TV Production
Interstitials - Life On Ben,"$139,581",Jun 2002,Republic Films & Automatic Films,TV 2,10 x 2 mins,Children,TV Production
Smokefree Rockquest 2002 Additional,"$75,875",Jun 2002,Screentime,TV 2,Children,TV Production,TV Production
Wannabes 2002 Additional,"$41,652",Jun 2002,Whitebait Productions,TV3,1 x 30 mins,Children,TV Production
Freaky Dramas 1,"$525,384",Jun 2002,Television New Zealand,TV 2,5 x 30 mins,Children's Drama,TV Production
Frontier Of Dreams Additional,"$1,457,773",Jun 2002,Whakapapa Productions,TV One,Documentary,TV Production,TV Production
Secret New Zealand 1 Additional,"$17,500",Jun 2002,Greenstone Pictures,TV One,Documentary,TV Production,TV Production
Murder On The Blade,"$172,624",Jun 2002,Hunter Productions,TV One,1 x 90 mins,Documentary,TV Production
Some Of My Best Friends Are... 1,"$280,067",Jun 2002,AKA PRODUCTIONS,TV One,6 x 30 mins,Special Interest,TV Production
Ihi Frenzy,"$46,200",Jun 2002,Kiwa Productions,TV3,1 x 60 mins,Special Interest,TV Production
Favourite Body Parts,"$75,769",Jun 2002,Top Shelf Productions,TV 2,1 x 60 mins,Documentary,TV Production
Teen Pregnancy,"$79,507",Jun 2002,Top Shelf Productions,TV 2,1 x 60 mins,Documentary,TV Production
Whangai: Who Gets Baby?,"$82,044",Jun 2002,Kiwa Productions,TV3,1 x 60 mins,Documentary,TV Production
Chinks Coconuts And Currymunchers,"$84,469",Jun 2002,Kiwa Productions,TV3,1 x 60 mins,Documentary,TV Production
Tokyo Bros - Kiwis In Japan,"$96,296",Jun 2002,Drum Productions,TV3,1 x 60 mins,Documentary,TV Production
Face Value,"$72,789",Jun 2002,NONA FILMS,TV One,1 x 60 mins,Documentary,TV Production
Gladiator,"$75,039",Jun 2002,Screentime,TV One,1 x 60 mins,Documentary,TV Production
Pride Of Place,"$342,201",Jun 2002,Isola Productions,TV3,8 x 30 mins,Documentary,TV Production
Interstitials - Artoonz,"$105,700",Apr 2002,FLUX ANIMATION STUDIO,TV 2,15 x 1 mins,Children,TV Production
Interstitials - Goober 2002,"$124,776",Apr 2002,Republic Films & Automatic Films,TV 2,15 x 2 mins,Children,TV Production
Interstitials - Jessie Com,"$150,011",Apr 2002,Whitebait Productions,TV 2,12 x 2 mins,Children,TV Production
Interstitials - Where Now?,"$79,923",Apr 2002,HALSEY STREET,TV 2,12 x 1 mins,Children,TV Production
Colonial House,"$402,670",Apr 2002,Eyeworks Touchdown,TV One,10 x 30 mins,Documentary,TV Production
Country Calendar 2003,"$220,000",Apr 2002,Television New Zealand,TV One,13 x 30 mins,Documentary,TV Production
Style Pasifika 2002,"$123,157",Apr 2002,Drum Productions,TV One,1 x 60 mins,Special Interest,TV Production
Open Door 3 - Additional,"$21,522",Apr 2002,Morningside Productions,TV3,Special Interest,TV Production,TV Production
Pukana Subtitles 2002,"$127,249",Apr 2002,Cinco Cine Film Productions,TV3,30 x 60 mins,Special Interest,TV Production
Noise Control,"$65,362",Apr 2002,South Pacific Pictures,TV 2,1 x 60 mins,Documentary,TV Production
In The Line Of Fire,"$74,000",Apr 2002,Cream Media,TV 2,1 x 60 mins,Documentary,TV Production
Gang Girls 1,"$78,735",Apr 2002,Front of The Box Productions,TV 2,1 x 60 mins,Documentary,TV Production
Growing Up Little,"$97,379",Apr 2002,Kiwa Productions,TV3,1 x 60 mins,Documentary,TV Production
In-Laws,"$84,897",Apr 2002,Top Shelf Productions,TV3,1 x 60 mins,Documentary,TV Production
Apartment Life,"$86,454",Apr 2002,Visionary Film & TV,TV3,1 x 60 mins,Documentary,TV Production
The Respectable Addiction,"$88,888",Apr 2002,Third Party Productions,TV One,1 x 60 mins,Documentary,TV Production
Mental Breakdown,"$80,431",Apr 2002,Top Shelf Productions,TV One,1 x 60 mins,Documentary,TV Production
Mobil Song Quest 2002,"$100,000",Feb 2002,C4 Productions,TV One,1 x 90 mins,Arts/Culture,TV Production
The Big Art Trip 2,"$488,273",Feb 2002,Screentime New Zealand,TV One,10 x 60 mins,Arts/Culture,TV Production
The Flying Nun Story,"$95,473",Feb 2002,Satellite Media Group,TV 2,1 x 90 mins,Arts/Culture,TV Production
The Living Room 1,"$379,266",Feb 2002,Sticky Pictures,TV3,10 x 30 mins,Arts/Culture,TV Production
Comedy Gala 2002,"$114,080",Feb 2002,PHOENIX TELEVISION,TV 2,1 x 90 mins,Comedy,TV Production
Billy T Awards 2002,"$115,432",Feb 2002,PHOENIX TV,TV 2,1 x 60 mins,Comedy,TV Production
Havoc & Newsboy Sellout Tour 3,"$178,985",Feb 2002,Television New Zealand,TV 2,10 x 30 mins,Comedy,TV Production
The Panel 2,"$436,303",Feb 2002,Screentime,TV3,12 x 60 mins,Comedy,TV Production
Inside Out 2002 Additional,"$8,723",Feb 2002,LONG WHITE CLOUD PRODUCTIONS,TV One,Special Interest,TV Production,TV Production
American Highway,"$76,000",Feb 2002,PRODUCTION LINE,TV3,6 x 30 mins,Documentary,TV Production
Christmas In The Jungle,"$42,223",Feb 2002,FLYING START PICTURES,TV3,1 x 60 mins,Documentary,TV Production
Give It A Whirl,"$602,704",Feb 2002,Visionary Film & TV,TV One,6 x 60 mins,Documentary,TV Production
Perfect Strangers Additional,"$100,000",Feb 2002,Gaylene Preston Productions,TV 2,Drama,TV Production,TV Production
